composition,coop_rate,winning_strategy
"[2, 2, 0, 0, 0, 5, 1, 1, 5, 5]",158.70521541950114,['SneakyTitForTat']
"[2, 3, 3, 3, 4, 1, 3, 3, 0, 5]",152.87379972565157,['EvolvedANNNoise05']
"[3, 3, 1, 1, 2, 4, 3, 4, 3, 3]",161.55555555555554,['EvolvedANNNoise05']
"[5, 2, 3, 2, 5, 1, 4, 0, 1, 0]",127.60302457466919,['EvolvedANNNoise05']
"[5, 2, 3, 4, 4, 1, 2, 5, 5, 1]",139.001953125,['SecondByRichardHufford']
"[3, 5, 5, 2, 0, 4, 0, 2, 3, 4]",157.32270408163265,['Raider']
"[3, 3, 1, 2, 3, 2, 4, 2, 4, 4]",148.9591836734694,['EvolvedANNNoise05']
"[4, 5, 4, 0, 0, 5, 5, 5, 2, 4]",172.9576124567474,['SneakyTitForTat']
"[2, 1, 5, 2, 0, 4, 0, 1, 5, 3]",147.21928166351606,['EvolvedANNNoise05']
"[3, 1, 5, 2, 5, 0, 3, 5, 3, 1]",135.25637755102042,['SecondByRichardHufford']
"[1, 3, 0, 4, 2, 4, 2, 3, 4, 5]",155.46938775510205,['EvolvedANNNoise05']
"[5, 4, 0, 2, 4, 3, 4, 3, 5, 1]",147.9177939646202,['EvolvedANNNoise05']
"[5, 0, 1, 0, 5, 3, 2, 5, 4, 5]",143.3022222222222,['SecondByRichardHufford']
"[4, 0, 4, 3, 5, 4, 3, 2, 4, 2]",139.24141519250782,['EvolvedANNNoise05']
"[4, 4, 5, 2, 2, 5, 3, 2, 5, 2]",153.82698961937717,['EvolvedANNNoise05']
"[5, 0, 3, 5, 0, 0, 2, 0, 0, 3]",146.00617283950618,['EvolvedANNNoise05']
"[0, 2, 4, 1, 0, 1, 4, 2, 4, 0]",166.81172839506172,['EvolvedANNNoise05']
"[1, 4, 2, 4, 4, 4, 1, 2, 5, 2]",145.68965517241378,['Raider']
"[4, 1, 0, 2, 3, 1, 2, 0, 3, 5]",135.3015873015873,['EvolvedANNNoise05']
"[5, 1, 3, 0, 5, 5, 4, 3, 3, 1]",147.59222222222223,['SecondByRichardHufford']
"[5, 3, 4, 5, 3, 3, 5, 1, 1, 0]",146.90333333333334,['EvolvedANNNoise05']
"[0, 5, 1, 1, 3, 5, 3, 2, 3, 1]",164.51736111111111,['SneakyTitForTat']
"[5, 5, 1, 5, 1, 5, 2, 5, 3, 0]",162.6806640625,['EvolvedANNNoise05']
"[1, 1, 3, 2, 5, 3, 2, 5, 3, 2]",146.23045267489712,['SecondByRichardHufford']
"[5, 5, 2, 3, 5, 5, 1, 4, 1, 0]",152.30176899063474,['EvolvedANNNoise05']
"[4, 0, 0, 3, 3, 3, 5, 1, 4, 5]",146.87882653061226,['EvolvedANNNoise05']
"[2, 0, 4, 5, 5, 3, 5, 1, 3, 1]",137.0499405469679,['EvolvedANNNoise05']
"[0, 5, 4, 3, 4, 1, 3, 5, 0, 2]",161.16460905349794,['EvolvedANNNoise05']
"[3, 4, 5, 4, 3, 4, 0, 1, 5, 2]",144.09469302809575,['Raider']
"[0, 3, 5, 0, 2, 2, 0, 3, 0, 1]",176.43359375,"['Cooperator', 'DefectorHunter']"
"[1, 5, 3, 2, 4, 2, 0, 5, 4, 4]",151.6,['Raider']
"[3, 3, 4, 2, 1, 1, 4, 4, 2, 0]",157.45138888888889,['EvolvedANNNoise05']
"[1, 1, 0, 2, 4, 1, 0, 0, 3, 3]",125.44888888888889,['SecondByRichardHufford']
"[1, 1, 4, 2, 0, 4, 3, 2, 2, 5]",164.19097222222223,['EvolvedANNNoise05']
"[3, 1, 1, 3, 5, 2, 2, 5, 3, 0]",138.4416,['EvolvedANNNoise05']
"[5, 0, 3, 5, 1, 4, 2, 3, 3, 2]",152.13010204081633,['EvolvedANNNoise05']
"[2, 1, 2, 1, 1, 0, 5, 0, 0, 4]",157.23046875,['EvolvedANNNoise05']
"[1, 0, 1, 5, 4, 2, 1, 1, 5, 5]",129.4192,['SecondByRichardHufford']
"[4, 3, 5, 2, 5, 2, 2, 0, 1, 4]",143.73086734693877,['EvolvedANNNoise05']
"[0, 4, 3, 5, 4, 4, 4, 0, 4, 5]",148.7483930211203,['EvolvedANNNoise05']
"[4, 3, 3, 3, 2, 5, 1, 4, 2, 5]",158.4228515625,['EvolvedANNNoise05']
"[2, 4, 3, 2, 4, 1, 1, 2, 2, 1]",145.8388429752066,['Raider']
"[2, 4, 5, 5, 2, 4, 2, 5, 2, 0]",158.27783558792925,['Raider']
"[5, 1, 0, 0, 1, 2, 3, 2, 1, 0]",158.15555555555557,['SneakyTitForTat']
"[2, 2, 2, 3, 2, 1, 2, 5, 3, 1]",151.24952741020795,['EvolvedANNNoise05']
"[1, 2, 5, 3, 1, 4, 4, 3, 4, 5]",157.5966796875,['EvolvedANNNoise05']
"[0, 0, 4, 4, 2, 1, 4, 4, 4, 2]",145.5584,['GrudgerAlternator']
"[1, 0, 2, 4, 3, 1, 1, 0, 0, 3]",141.91555555555556,['SecondByRichardHufford']
"[1, 1, 0, 5, 2, 0, 5, 3, 0, 0]",150.53979238754326,['EvolvedANNNoise05']
"[1, 2, 0, 5, 2, 1, 1, 0, 0, 2]",153.19897959183675,['EvolvedANNNoise05']
"[3, 4, 5, 4, 1, 1, 5, 5, 5, 4]",156.00292184075968,['EvolvedANNNoise05']
"[3, 0, 4, 5, 1, 4, 4, 0, 1, 2]",154.21006944444446,['EvolvedANNNoise05']
"[2, 2, 0, 3, 1, 0, 3, 5, 1, 5]",168.92768595041323,['EvolvedANNNoise05']
"[3, 3, 3, 0, 5, 0, 0, 0, 4, 1]",131.50415512465375,['SecondByRichardHufford']
"[2, 4, 1, 4, 4, 5, 5, 2, 2, 4]",157.24977043158862,['EvolvedANNNoise05']
"[5, 0, 3, 0, 2, 4, 0, 2, 1, 4]",148.13378684807256,['SecondByRichardHufford']
"[5, 2, 5, 0, 4, 0, 2, 3, 5, 0]",135.37869822485206,['Raider']
"[4, 3, 0, 1, 1, 5, 1, 2, 1, 0]",165.929012345679,['SneakyTitForTat']
"[4, 0, 2, 1, 3, 1, 2, 5, 2, 2]",141.9979338842975,['SecondByRichardHufford']
"[2, 5, 4, 2, 0, 3, 5, 3, 3, 3]",167.68,['EvolvedANNNoise05']
"[3, 0, 3, 0, 3, 1, 5, 5, 4, 5]",149.42925089179548,['SecondByRichardHufford']
"[0, 1, 5, 2, 4, 1, 3, 2, 0, 4]",152.3388429752066,['GrudgerAlternator']
"[2, 0, 1, 0, 5, 0, 3, 0, 5, 2]",122.18827160493827,['GrudgerAlternator']
"[3, 5, 1, 0, 2, 0, 4, 4, 4, 5]",157.8137755102041,['Raider']
"[0, 1, 2, 5, 2, 3, 3, 5, 3, 5]",155.50653983353152,['EvolvedANNNoise05']
"[1, 5, 3, 4, 5, 3, 2, 1, 2, 2]",152.2908163265306,['Raider']
"[0, 0, 0, 1, 4, 2, 5, 2, 0, 1]",140.99555555555557,['EvolvedANNNoise05']
"[1, 1, 4, 3, 1, 1, 3, 1, 0, 0]",153.64444444444445,['EvolvedANNNoise05']
"[1, 1, 5, 3, 2, 3, 4, 4, 0, 5]",161.4859693877551,['EvolvedANNNoise05']
"[1, 4, 2, 3, 4, 3, 0, 0, 2, 5]",152.11458333333334,['Raider']
"[5, 3, 0, 0, 4, 4, 3, 3, 3, 2]",151.19478737997255,['SneakyTitForTat']
"[2, 0, 4, 5, 1, 2, 2, 3, 4, 4]",146.92318244170096,['EvolvedANNNoise05']
"[3, 4, 1, 1, 2, 1, 1, 3, 2, 0]",150.53395061728395,['SneakyTitForTat']
"[1, 1, 3, 1, 5, 5, 3, 0, 0, 4]",162.10964083175804,['GrudgerAlternator']
"[3, 1, 3, 3, 1, 5, 2, 5, 5, 1]",158.43876337693223,['EvolvedANNNoise05']
"[2, 2, 3, 0, 2, 0, 0, 1, 0, 2]",144.47916666666666,['Raider']
"[4, 2, 5, 1, 4, 1, 1, 0, 3, 3]",134.04861111111111,['EvolvedANNNoise05']
"[1, 2, 3, 0, 2, 5, 2, 2, 2, 4]",163.91682419659736,['Raider']
"[1, 2, 1, 0, 5, 1, 2, 3, 3, 4]",142.92355371900825,['GrudgerAlternator']
"[1, 4, 3, 5, 2, 3, 0, 0, 1, 0]",155.76454293628808,['Raider']
"[3, 4, 4, 0, 2, 0, 5, 4, 5, 0]",156.6159122085048,['Raider']
"[0, 3, 2, 2, 1, 4, 2, 3, 4, 2]",160.1304347826087,['EvolvedANNNoise05']
"[3, 3, 4, 2, 3, 2, 0, 3, 4, 1]",143.552,['Raider']
"[4, 3, 1, 3, 0, 0, 5, 2, 5, 1]",162.45138888888889,['EvolvedANNNoise05']
"[3, 3, 3, 2, 5, 0, 3, 5, 2, 0]",138.89644970414201,['EvolvedANNNoise05']
"[5, 5, 5, 3, 1, 4, 4, 1, 4, 2]",154.53806228373702,['EvolvedANNNoise05']
"[0, 1, 3, 4, 4, 3, 0, 4, 2, 0]",146.9297052154195,['Forgiver']
"[3, 3, 2, 0, 4, 0, 2, 1, 4, 0]",135.45983379501385,['Raider']
"[2, 0, 5, 5, 5, 3, 0, 0, 0, 2]",146.3181818181818,['SecondByRichardHufford']
"[5, 4, 3, 1, 4, 2, 4, 4, 4, 2]",147.6556473829201,['EvolvedANNNoise05']
"[4, 5, 5, 4, 1, 4, 4, 5, 5, 5]",158.52551020408163,['EvolvedANNNoise05']
"[5, 4, 3, 3, 0, 4, 0, 4, 2, 2]",159.72153635116598,['EvolvedANNNoise05']
"[0, 3, 1, 2, 1, 2, 2, 4, 0, 0]",175.24444444444444,['EvolvedANNNoise05']
"[0, 1, 0, 3, 3, 2, 1, 5, 3, 4]",149.80578512396696,['SecondByRichardHufford']
"[1, 0, 0, 4, 5, 5, 1, 2, 1, 4]",150.67674858223063,['SecondByRichardHufford']
"[4, 1, 2, 5, 4, 1, 5, 5, 1, 4]",146.8720703125,['EvolvedANNNoise05']
"[4, 4, 0, 3, 4, 4, 0, 0, 0, 4]",155.4366729678639,['EvolvedANNNoise05']
"[0, 4, 3, 0, 1, 4, 2, 1, 5, 5]",157.4992,['GrudgerAlternator']
"[5, 2, 3, 1, 0, 0, 4, 3, 5, 1]",159.41319444444446,['EvolvedANNNoise05']
"[1, 3, 3, 1, 1, 0, 0, 5, 4, 2]",152.95,['Raider']
"[4, 2, 1, 4, 4, 3, 0, 0, 1, 1]",137.525,['SecondByRichardHufford']
"[5, 5, 4, 4, 3, 1, 5, 0, 1, 3]",146.5993756503642,['EvolvedANNNoise05']
"[1, 5, 1, 3, 4, 4, 0, 5, 0, 4]",168.64609053497944,['Raider']
"[2, 3, 5, 2, 0, 3, 2, 5, 2, 1]",165.016,['Raider']
"[5, 1, 2, 2, 4, 5, 0, 4, 4, 2]",145.23543400713436,['SecondByRichardHufford']
"[3, 1, 2, 2, 2, 5, 3, 4, 5, 4]",155.89177939646203,['EvolvedANNNoise05']
"[1, 2, 3, 4, 5, 2, 4, 1, 1, 0]",142.5047258979206,['GrudgerAlternator']
"[2, 3, 1, 5, 0, 2, 0, 3, 1, 2]",165.89473684210526,['Raider']
"[2, 4, 0, 2, 0, 3, 3, 5, 3, 2]",175.62673611111111,['EvolvedANNNoise05']
"[3, 4, 0, 1, 4, 2, 3, 1, 3, 3]",145.80034722222223,['EvolvedANNNoise05']
"[0, 2, 0, 5, 1, 2, 2, 0, 4, 4]",142.6725,['EvolvedANNNoise05']
"[0, 4, 4, 5, 5, 3, 5, 3, 3, 5]",151.43243243243242,['EvolvedANNNoise05']
"[0, 1, 3, 5, 5, 0, 2, 2, 3, 5]",133.5473372781065,['GrudgerAlternator']
"[5, 0, 5, 4, 5, 2, 5, 0, 4, 3]",132.59871441689623,['EvolvedANNNoise05']
"[0, 4, 1, 5, 1, 1, 1, 0, 3, 0]",142.28125,['EvolvedANNNoise05']
"[4, 1, 4, 3, 0, 2, 1, 1, 1, 1]",147.98456790123456,['EvolvedANNNoise05']
"[2, 5, 2, 2, 0, 1, 3, 0, 0, 3]",170.37962962962962,['Raider']
"[1, 5, 0, 3, 5, 0, 0, 4, 0, 0]",152.29320987654322,['Raider']
"[1, 4, 4, 2, 5, 1, 1, 1, 2, 4]",149.3008,['Raider']
"[0, 5, 5, 2, 3, 1, 2, 1, 4, 5]",150.81632653061226,['GrudgerAlternator']
"[1, 4, 4, 1, 5, 2, 5, 2, 0, 3]",158.79012345679013,['GrudgerAlternator']
"[5, 4, 5, 5, 2, 5, 3, 0, 5, 5]",148.12426035502958,['EvolvedANNNoise05']
"[4, 4, 1, 3, 4, 1, 3, 1, 5, 4]",138.78333333333333,['EvolvedANNNoise05']
"[4, 2, 2, 4, 5, 2, 3, 4, 4, 3]",140.59320477502297,['SecondByRichardHufford']
"[3, 5, 2, 0, 5, 5, 1, 5, 5, 3]",154.2984429065744,['SneakyTitForTat']
"[5, 0, 4, 1, 4, 2, 3, 4, 2, 5]",142.05,['EvolvedANNNoise05']
"[2, 5, 4, 1, 1, 5, 5, 3, 4, 0]",168.00666666666666,['SneakyTitForTat']
"[3, 1, 2, 5, 0, 5, 5, 0, 4, 2]",159.2249657064472,['EvolvedANNNoise05']
"[1, 2, 0, 3, 2, 2, 1, 1, 2, 3]",148.719723183391,['EvolvedANNNoise05']
"[5, 1, 2, 0, 4, 0, 2, 2, 5, 4]",131.4592,['SecondByRichardHufford']
"[3, 3, 5, 2, 5, 4, 0, 0, 2, 5]",149.77526753864447,['EvolvedANNNoise05']
"[5, 1, 3, 2, 0, 2, 5, 1, 0, 0]",159.45429362880887,['EvolvedANNNoise05']
"[3, 0, 1, 4, 5, 5, 2, 0, 5, 2]",134.26611796982166,['SecondByRichardHufford']
"[5, 1, 3, 0, 1, 1, 4, 4, 4, 0]",157.44234404536863,['SneakyTitForTat']
"[3, 1, 1, 0, 0, 1, 3, 2, 2, 0]",171.7337278106509,['SneakyTitForTat']
"[5, 1, 0, 2, 1, 5, 0, 1, 2, 1]",154.1820987654321,"['EvolvedANNNoise05', 'SneakyTitForTat']"
"[5, 1, 4, 5, 0, 3, 5, 2, 5, 5]",155.6457142857143,['EvolvedANNNoise05']
"[1, 3, 1, 4, 2, 5, 1, 5, 1, 3]",167.45710059171597,['EvolvedANNNoise05']
"[2, 1, 2, 2, 5, 0, 1, 0, 1, 3]",128.96539792387543,['SecondByRichardHufford']
"[2, 4, 2, 2, 2, 0, 0, 1, 2, 0]",140.14666666666668,['Raider']
"[5, 5, 3, 5, 4, 5, 1, 2, 1, 3]",152.92560553633217,['EvolvedANNNoise05']
"[1, 5, 2, 0, 5, 0, 4, 4, 2, 3]",152.28994082840237,['Raider']
"[2, 0, 3, 3, 0, 0, 4, 0, 3, 3]",149.2530864197531,['EvolvedANNNoise05']
"[5, 3, 2, 1, 3, 3, 0, 2, 5, 4]",141.7908163265306,['EvolvedANNNoise05']
"[3, 5, 4, 1, 5, 0, 2, 2, 0, 1]",146.69754253308128,['Raider']
"[2, 2, 0, 0, 3, 0, 5, 0, 5, 3]",141.2775,['SecondByRichardHufford']
"[5, 1, 0, 3, 3, 3, 0, 0, 5, 2]",131.01652892561984,['SecondByRichardHufford']
"[3, 5, 3, 1, 4, 4, 1, 3, 2, 5]",156.90530697190425,['EvolvedANNNoise05']
"[1, 4, 0, 2, 2, 4, 3, 5, 0, 0]",175.1859410430839,['EvolvedANNNoise05']
"[4, 4, 2, 4, 0, 2, 0, 0, 2, 2]",147.56,['Raider']
"[1, 4, 1, 5, 2, 4, 0, 0, 3, 3]",148.40264650283555,['Raider']
"[1, 0, 0, 1, 0, 5, 1, 4, 1, 0]",186.20118343195267,['SneakyTitForTat']
"[1, 5, 2, 1, 5, 0, 4, 0, 3, 4]",144.9056,['GrudgerAlternator']
"[4, 2, 4, 2, 5, 0, 1, 1, 3, 0]",125.48347107438016,['EvolvedANNNoise05']
"[1, 1, 0, 0, 2, 2, 1, 0, 5, 2]",138.51020408163265,['SecondByRichardHufford']
"[1, 0, 3, 1, 2, 0, 2, 0, 3, 2]",132.0765306122449,['GrudgerAlternator']
"[5, 4, 1, 2, 4, 3, 0, 5, 0, 5]",156.17835909631393,['EvolvedANNNoise05']
"[0, 3, 2, 5, 5, 4, 3, 5, 4, 3]",149.29152249134947,['EvolvedANNNoise05']
"[0, 3, 4, 5, 4, 3, 1, 3, 4, 5]",146.845703125,['SecondByRichardHufford']
"[2, 1, 0, 1, 3, 1, 5, 3, 1, 0]",146.1349480968858,['EvolvedANNNoise05']
"[1, 4, 3, 4, 5, 2, 4, 4, 0, 2]",154.70868014268729,['EvolvedANNNoise05']
"[0, 0, 3, 4, 0, 2, 2, 2, 0, 5]",168.11111111111111,['EvolvedANNNoise05']
"[5, 3, 1, 0, 2, 4, 4, 2, 5, 1]",157.2249657064472,['SneakyTitForTat']
"[4, 5, 2, 1, 0, 0, 0, 2, 1, 2]",150.19723183391002,['Raider']
"[2, 5, 4, 3, 3, 2, 3, 2, 4, 5]",150.50045913682277,['Raider']
"[3, 3, 1, 4, 1, 5, 5, 2, 4, 4]",161.5751953125,['EvolvedANNNoise05']
"[1, 2, 2, 0, 0, 2, 0, 4, 1, 5]",170.59861591695503,['Raider']
"[0, 3, 2, 5, 0, 1, 5, 0, 3, 5]",158.15277777777777,['EvolvedANNNoise05']
"[2, 3, 2, 3, 0, 5, 4, 1, 0, 4]",176.86631944444446,['EvolvedANNNoise05']
"[2, 0, 2, 2, 3, 0, 0, 0, 2, 2]",118.23668639053254,['SecondByRichardHufford']
"[2, 4, 5, 3, 5, 5, 4, 4, 3, 4]",154.79881656804733,['EvolvedANNNoise05']
"[4, 3, 4, 0, 2, 2, 2, 2, 0, 3]",153.6590909090909,['DefectorHunter']
"[1, 2, 2, 4, 0, 3, 5, 4, 4, 5]",165.42777777777778,['EvolvedANNNoise05']
"[2, 0, 1, 4, 4, 1, 5, 1, 2, 2]",132.98347107438016,['EvolvedANNNoise05']
"[3, 2, 1, 0, 1, 4, 4, 1, 2, 1]",166.5623268698061,['SneakyTitForTat']
"[2, 1, 4, 2, 3, 0, 1, 0, 4, 0]",129.24221453287197,['GrudgerAlternator']
"[1, 4, 5, 4, 3, 0, 0, 0, 0, 4]",155.88208616780045,['Raider']
"[4, 0, 4, 1, 2, 3, 3, 3, 3, 0]",149.30812854442345,['EvolvedANNNoise05']
"[4, 3, 3, 1, 4, 4, 2, 3, 4, 1]",148.5410225921522,['EvolvedANNNoise05']
"[1, 1, 4, 0, 5, 2, 0, 3, 1, 1]",153.76234567901236,['Forgiver']
"[1, 4, 2, 5, 4, 5, 3, 1, 1, 5]",159.5171696149844,['EvolvedANNNoise05']
"[3, 5, 4, 0, 5, 0, 2, 5, 5, 1]",145.36333333333334,['Raider']
"[2, 0, 0, 3, 2, 3, 4, 5, 3, 2]",159.46527777777777,['EvolvedANNNoise05']
"[4, 5, 0, 5, 4, 0, 4, 5, 3, 3]",148.45087235996326,['EvolvedANNNoise05']
"[1, 2, 1, 4, 1, 0, 5, 0, 0, 4]",162.16666666666666,['EvolvedANNNoise05']
"[4, 5, 4, 4, 1, 4, 1, 1, 5, 0]",148.83947681331748,['Raider']
"[5, 1, 3, 2, 3, 3, 1, 0, 3, 4]",137.512,['EvolvedANNNoise05']
"[0, 4, 5, 3, 5, 2, 5, 2, 3, 0]",151.2604042806183,['GrudgerAlternator']
"[2, 0, 1, 4, 5, 4, 5, 2, 0, 0]",142.91682419659736,['EvolvedANNNoise05']
"[1, 3, 3, 3, 1, 3, 1, 2, 2, 4]",158.4045368620038,['Raider']
"[3, 5, 5, 3, 5, 1, 1, 4, 3, 0]",144.20666666666668,['Raider']
"[1, 2, 2, 3, 5, 3, 3, 0, 4, 5]",140.48469387755102,['GrudgerAlternator']
"[2, 4, 0, 1, 4, 4, 0, 3, 4, 2]",151.06076388888889,['EvolvedANNNoise05']
"[3, 1, 3, 0, 1, 2, 4, 1, 5, 5]",152.6784,['SecondByRichardHufford']
"[3, 3, 5, 3, 3, 0, 5, 0, 2, 4]",143.3762755102041,['EvolvedANNNoise05']
"[5, 2, 0, 3, 2, 0, 1, 3, 5, 0]",141.67573696145124,['EvolvedANNNoise05']
"[3, 1, 3, 1, 1, 2, 0, 0, 0, 0]",142.01652892561984,['EvolvedANNNoise05']
"[3, 0, 0, 1, 3, 5, 5, 3, 0, 2]",162.45247933884298,['EvolvedANNNoise05']
"[5, 3, 0, 0, 3, 3, 0, 5, 4, 0]",151.2608695652174,['SneakyTitForTat']
"[2, 4, 0, 3, 2, 1, 1, 2, 1, 4]",157.73,['Raider']
"[5, 5, 2, 1, 4, 5, 1, 0, 0, 3]",156.65976331360946,['EvolvedANNNoise05']
"[3, 3, 0, 3, 4, 1, 1, 2, 5, 1]",134.2117202268431,['SecondByRichardHufford']
"[4, 2, 3, 1, 5, 0, 2, 4, 2, 3]",135.26923076923077,['SecondByRichardHufford']
"[3, 2, 5, 0, 3, 3, 2, 4, 2, 4]",153.30739795918367,['SecondByRichardHufford']
"[1, 2, 4, 0, 4, 5, 5, 1, 3, 3]",157.83673469387756,['GrudgerAlternator']
"[1, 1, 2, 5, 0, 2, 3, 3, 5, 5]",155.28532235939645,['EvolvedANNNoise05']
"[2, 4, 3, 5, 0, 3, 5, 2, 1, 3]",168.69132653061226,['EvolvedANNNoise05']
"[0, 3, 0, 3, 3, 4, 5, 5, 0, 3]",169.62278106508876,['EvolvedANNNoise05']
