,composition,gd_slot,gd_k,gd_n,gd_m,coop_rate,winning_strategy
81,"[0, 2, 2, 0, 0]",2,2,2,2,125.25,['ContriteTitForTat']
82,"[5, 2, 2, 5, 5]",0,4,3,3,155.3185595567867,['InversePunisher']
83,"[0, 1, 0, 1, 3]",3,1,4,4,164.52,['InversePunisher']
84,"[5, 5, 0, 1, 1]",3,0,5,5,187.54861111111111,['FirstByDavis']
85,"[4, 2, 4, 1, 2]",0,4,1,1,96.16568047337279,"['ContriteTitForTat', 'InversePunisher']"
86,"[5, 2, 5, 4, 5]",0,1,2,2,155.37414965986395,['InversePunisher']
87,"[3, 3, 5, 4, 5]",0,0,3,3,176.195,['InversePunisher']
88,"[4, 3, 0, 1, 4]",1,3,4,4,151.25,['InversePunisher']
89,"[0, 5, 1, 2, 4]",3,1,5,5,181.29166666666666,['InversePunisher']
90,"[5, 5, 3, 5, 0]",3,3,1,1,105.26234567901234,['ContriteTitForTat']
91,"[5, 0, 4, 2, 3]",2,3,2,2,133.46938775510205,['FirstByDavis']
92,"[1, 1, 2, 4, 4]",4,3,3,3,150.44444444444446,['FirstByDavis']
93,"[5, 1, 3, 4, 2]",0,5,4,4,156.11111111111111,['InversePunisher']
94,"[1, 1, 5, 0, 4]",2,5,5,5,144.58677685950414,['FirstByDavis']
95,"[0, 2, 1, 5, 5]",4,4,1,1,76.00591715976331,"['ContriteTitForTat', 'InversePunisher']"
96,"[5, 3, 4, 0, 3]",0,0,2,2,147.93333333333334,['InversePunisher']
97,"[5, 4, 2, 2, 0]",2,2,3,3,171.12426035502958,"['FirstByDavis', 'InversePunisher']"
98,"[5, 0, 3, 4, 2]",3,1,4,4,158.3265306122449,['InversePunisher']
99,"[4, 1, 4, 0, 2]",0,4,5,5,173.05785123966942,['InversePunisher']
100,"[4, 0, 5, 5, 3]",3,3,1,1,100.57093425605537,['InversePunisher']
101,"[0, 4, 3, 3, 2]",3,3,2,2,159.16666666666666,['InversePunisher']
102,"[5, 1, 1, 2, 2]",3,2,3,3,165.12396694214877,['FirstByDavis']
103,"[3, 5, 4, 5, 4]",3,5,4,4,169.96598639455783,['InversePunisher']
104,"[1, 5, 4, 2, 4]",4,1,5,5,178.734375,['FirstByDavis']
105,"[0, 1, 4, 2, 3]",2,0,1,1,72.24,"['ContriteTitForTat', 'InversePunisher']"
106,"[3, 2, 1, 2, 4]",2,1,2,2,178.75,['FirstByDavis']
107,"[4, 4, 5, 0, 2]",2,5,3,3,147.06666666666666,['FirstByDavis']
108,"[1, 4, 0, 2, 0]",3,1,4,4,169.9591836734694,['FirstByDavis']
109,"[4, 5, 0, 1, 4]",1,5,5,5,144.89795918367346,['FirstByDavis']
110,"[1, 1, 1, 0, 5]",0,1,1,1,153.25,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
111,"[3, 0, 4, 5, 2]",2,4,2,2,133.79591836734693,['FirstByDavis']
112,"[4, 0, 0, 0, 2]",4,2,3,3,135.77777777777777,['FirstByDavis']
113,"[3, 1, 1, 3, 5]",3,3,4,4,160.07692307692307,['InversePunisher']
114,"[5, 2, 5, 3, 2]",3,3,5,5,178.78200692041523,['FirstByDavis']
115,"[4, 4, 5, 5, 4]",0,3,1,1,134.07438016528926,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
116,"[5, 4, 4, 3, 1]",3,3,2,2,166.49134948096886,['FirstByDavis']
117,"[1, 5, 5, 0, 5]",2,5,3,3,151.25,['FirstByDavis']
118,"[5, 0, 3, 0, 5]",2,2,4,4,154.20118343195267,['InversePunisher']
119,"[4, 0, 5, 4, 2]",2,5,5,5,147.37777777777777,['FirstByDavis']
120,"[5, 3, 4, 2, 3]",4,3,1,1,136.2941176470588,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
121,"[3, 4, 1, 0, 4]",2,0,2,2,179.90277777777777,['FirstByDavis']
122,"[1, 5, 5, 2, 1]",1,5,3,3,157.5,['FirstByDavis']
123,"[2, 3, 3, 5, 5]",2,3,4,4,168.63888888888889,['InversePunisher']
124,"[5, 0, 2, 0, 4]",4,4,5,5,154.0495867768595,['FirstByDavis']
125,"[0, 2, 0, 3, 4]",4,4,1,1,61.97530864197531,"['ContriteTitForTat', 'InversePunisher']"
126,"[1, 1, 4, 0, 0]",1,1,2,2,178.05555555555554,['GeneralizedDefector']
127,"[4, 0, 1, 0, 4]",4,4,3,3,133.1358024691358,['FirstByDavis']
128,"[3, 1, 3, 1, 3]",0,3,4,4,165.71074380165288,['InversePunisher']
129,"[2, 4, 1, 5, 3]",0,2,5,5,181.33333333333334,['InversePunisher']
130,"[0, 4, 5, 0, 3]",4,3,1,1,112.79166666666667,['ContriteTitForTat']
131,"[2, 4, 5, 0, 5]",1,4,2,2,154.84375,['FirstByDavis']
132,"[5, 3, 5, 4, 5]",3,4,3,3,170.9090909090909,"['FirstByDavis', 'InversePunisher']"
133,"[5, 3, 1, 1, 5]",4,2,4,4,154.6,['InversePunisher']
134,"[0, 1, 2, 5, 1]",4,0,5,5,184.7037037037037,['InversePunisher']
135,"[0, 0, 5, 1, 2]",2,5,1,1,28.359375,['InversePunisher']
136,"[5, 2, 2, 5, 2]",1,1,2,2,170.125,['FirstByDavis']
137,"[4, 1, 4, 5, 2]",0,0,3,3,162.34375,['InversePunisher']
138,"[1, 2, 1, 2, 5]",3,1,4,4,169.9504132231405,['InversePunisher']
139,"[4, 3, 0, 3, 5]",4,5,5,5,155.9777777777778,['FirstByDavis']
140,"[2, 5, 5, 4, 2]",3,1,1,1,121.44444444444444,"['ContriteTitForTat', 'InversePunisher']"
141,"[1, 5, 5, 4, 3]",3,2,2,2,162.58024691358025,['FirstByDavis']
142,"[0, 3, 4, 4, 1]",3,4,3,3,167.38888888888889,['InversePunisher']
143,"[4, 2, 4, 1, 4]",0,4,4,4,167.50222222222223,['InversePunisher']
144,"[4, 4, 5, 4, 4]",0,4,5,5,178.77551020408163,['InversePunisher']
145,"[3, 0, 3, 0, 5]",0,1,1,1,106.05785123966942,['InversePunisher']
146,"[2, 3, 2, 4, 2]",2,2,2,2,163.68047337278105,['FirstByDavis']
147,"[1, 4, 0, 5, 2]",4,2,3,3,169.91666666666666,"['FirstByDavis', 'InversePunisher']"
148,"[3, 3, 0, 5, 5]",3,5,4,4,151.23046875,['InversePunisher']
149,"[1, 0, 2, 0, 3]",2,1,5,5,148.11111111111111,['FirstByDavis']
150,"[2, 2, 0, 3, 5]",1,2,1,1,139.27777777777777,['InversePunisher']
151,"[5, 2, 2, 5, 5]",3,1,2,2,145.18005540166206,['FirstByDavis']
152,"[4, 1, 3, 2, 2]",0,2,3,3,155.72222222222223,['InversePunisher']
153,"[3, 1, 0, 5, 2]",3,5,4,4,135.49586776859505,['InversePunisher']
154,"[3, 3, 5, 5, 1]",1,3,5,5,176.560553633218,['FirstByDavis']
155,"[5, 1, 5, 0, 4]",0,5,1,1,89.22222222222223,"['ContriteTitForTat', 'InversePunisher']"
156,"[3, 5, 5, 3, 2]",2,4,2,2,141.74382716049382,['FirstByDavis']
157,"[5, 5, 2, 2, 4]",2,2,3,3,177.9506172839506,"['FirstByDavis', 'InversePunisher']"
158,"[2, 4, 1, 0, 4]",0,0,4,4,174.71074380165288,['InversePunisher']
159,"[4, 4, 1, 4, 0]",3,1,5,5,166.01183431952663,['FirstByDavis']
160,"[5, 2, 0, 2, 0]",0,2,1,1,39.75308641975309,"['ContriteTitForTat', 'InversePunisher']"
161,"[5, 4, 5, 4, 1]",2,5,2,2,142.4376731301939,['FirstByDavis']
162,"[2, 0, 5, 3, 3]",2,5,3,3,130.71005917159763,['FirstByDavis']
163,"[5, 1, 4, 1, 2]",3,1,4,4,187.92307692307693,['InversePunisher']
164,"[1, 1, 5, 2, 3]",3,1,5,5,183.15277777777777,['FirstByDavis']
165,"[2, 4, 3, 5, 5]",0,2,1,1,160.22160664819944,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
166,"[5, 1, 5, 4, 1]",3,3,2,2,155.765625,['FirstByDavis']
167,"[5, 4, 4, 0, 4]",0,5,3,3,163.28719723183391,['InversePunisher']
168,"[2, 5, 3, 3, 5]",3,3,4,4,176.80555555555554,['InversePunisher']
169,"[4, 2, 4, 5, 5]",0,4,5,5,174.42,['InversePunisher']
170,"[1, 3, 2, 5, 2]",3,5,1,1,76.30177514792899,"['ContriteTitForTat', 'InversePunisher']"
171,"[0, 5, 2, 5, 0]",3,3,2,2,141.14583333333334,['ContriteTitForTat']
172,"[5, 2, 2, 5, 5]",1,0,3,3,177.595567867036,"['FirstByDavis', 'InversePunisher']"
173,"[5, 2, 2, 3, 5]",0,3,4,4,156.47058823529412,['InversePunisher']
174,"[4, 3, 3, 5, 3]",1,3,5,5,173.85185185185185,['FirstByDavis']
175,"[4, 1, 3, 1, 3]",2,1,1,1,113.4375,"['ContriteTitForTat', 'InversePunisher']"
176,"[5, 2, 2, 1, 1]",1,2,2,2,160.099173553719,['FirstByDavis']
177,"[0, 0, 3, 3, 2]",2,3,3,3,132.125,['InversePunisher']
178,"[0, 4, 5, 1, 1]",1,3,4,4,168.8595041322314,['InversePunisher']
179,"[5, 1, 5, 4, 5]",3,4,5,5,173.71,['FirstByDavis']
180,"[3, 2, 5, 0, 4]",0,0,1,1,123.71428571428571,"['ContriteTitForTat', 'InversePunisher']"
181,"[4, 3, 3, 4, 5]",3,0,2,2,157.15235457063713,['FirstByDavis']
182,"[2, 0, 1, 0, 5]",0,2,3,3,154.75,['InversePunisher']
183,"[4, 5, 5, 3, 2]",4,0,4,4,185.91135734072023,['InversePunisher']
184,"[5, 2, 2, 3, 0]",0,5,5,5,163.125,['InversePunisher']
185,"[0, 5, 1, 5, 0]",3,5,1,1,59.79338842975206,['ContriteTitForTat']
186,"[5, 1, 3, 1, 3]",2,3,2,2,145.37869822485206,['FirstByDavis']
187,"[0, 3, 5, 4, 4]",1,3,3,3,170.375,['InversePunisher']
188,"[2, 1, 3, 5, 3]",2,1,4,4,158.71938775510205,['InversePunisher']
189,"[1, 5, 5, 5, 5]",2,0,5,5,167.06349206349208,['FirstByDavis']
190,"[1, 1, 4, 5, 5]",4,5,1,1,95.0,"['ContriteTitForTat', 'InversePunisher']"
191,"[2, 5, 5, 4, 2]",1,5,2,2,149.50617283950618,['FirstByDavis']
192,"[2, 2, 4, 2, 1]",0,2,3,3,176.69421487603304,['InversePunisher']
193,"[3, 2, 2, 4, 1]",2,1,4,4,168.77777777777777,['InversePunisher']
194,"[0, 3, 2, 0, 4]",1,3,5,5,161.77777777777777,['InversePunisher']
195,"[5, 1, 0, 2, 2]",4,2,1,1,129.06,"['ContriteTitForTat', 'InversePunisher']"
196,"[5, 2, 5, 2, 1]",0,5,2,2,150.13333333333333,['InversePunisher']
197,"[1, 5, 0, 5, 5]",1,5,3,3,139.7265625,['FirstByDavis']
198,"[1, 3, 4, 2, 0]",2,4,4,4,150.84,['InversePunisher']
199,"[0, 0, 5, 2, 0]",2,5,5,5,137.14285714285714,['InversePunisher']
200,"[2, 4, 0, 0, 5]",1,4,1,1,81.81818181818181,['InversePunisher']
201,"[4, 2, 3, 4, 4]",2,3,2,2,157.2941176470588,['FirstByDavis']
202,"[1, 3, 4, 2, 5]",4,1,3,3,161.2,['FirstByDavis']
203,"[4, 1, 5, 0, 5]",2,5,4,4,143.57777777777778,['InversePunisher']
204,"[0, 2, 1, 3, 4]",4,4,5,5,160.72,['InversePunisher']
205,"[0, 4, 1, 0, 2]",1,2,1,1,37.06122448979592,['InversePunisher']
206,"[0, 4, 3, 1, 0]",3,1,2,2,181.3125,['GeneralizedDefector']
207,"[2, 2, 2, 1, 1]",2,2,3,3,156.0,['FirstByDavis']
208,"[3, 2, 2, 5, 3]",3,4,4,4,155.42222222222222,['InversePunisher']
209,"[3, 3, 3, 5, 4]",0,3,5,5,178.25,['InversePunisher']
210,"[3, 2, 1, 0, 5]",4,5,1,1,60.90909090909091,['ContriteTitForTat']
211,"[3, 2, 5, 0, 2]",2,5,2,2,119.02777777777777,['FirstByDavis']
212,"[3, 0, 1, 1, 4]",3,1,3,3,176.54320987654322,"['FirstByDavis', 'InversePunisher']"
213,"[4, 0, 4, 3, 5]",2,3,4,4,151.125,['InversePunisher']
214,"[1, 2, 4, 0, 3]",2,4,5,5,153.12,['FirstByDavis']
215,"[4, 2, 5, 3, 2]",4,1,1,1,153.5546875,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
216,"[5, 1, 5, 3, 5]",2,5,2,2,138.98891966759004,['FirstByDavis']
217,"[1, 1, 1, 4, 0]",0,1,3,3,174.20408163265307,['InversePunisher']
218,"[5, 0, 1, 2, 2]",3,2,4,4,163.16,['InversePunisher']
219,"[1, 2, 0, 3, 1]",0,1,5,5,178.9795918367347,['InversePunisher']
220,"[1, 3, 4, 4, 2]",3,4,1,1,102.51020408163265,"['ContriteTitForTat', 'InversePunisher']"
221,"[1, 3, 3, 1, 4]",1,3,2,2,152.08333333333334,['FirstByDavis']
222,"[4, 5, 1, 2, 5]",2,0,3,3,187.8892733564014,"['FirstByDavis', 'InversePunisher']"
223,"[4, 5, 3, 4, 4]",0,1,4,4,171.87,['InversePunisher']
224,"[3, 4, 0, 0, 5]",4,5,5,5,158.125,['FirstByDavis']
225,"[4, 3, 1, 5, 2]",0,4,1,1,107.7688888888889,"['ContriteTitForTat', 'InversePunisher']"
226,"[2, 4, 1, 4, 0]",3,2,2,2,137.98347107438016,['FirstByDavis']
227,"[1, 5, 5, 5, 4]",3,5,3,3,167.8,['FirstByDavis']
228,"[0, 1, 4, 5, 2]",2,4,4,4,143.86111111111111,['InversePunisher']
229,"[4, 4, 5, 2, 4]",1,3,5,5,171.98891966759004,['FirstByDavis']
230,"[1, 2, 3, 5, 2]",2,1,1,1,118.68047337278107,"['ContriteTitForTat', 'InversePunisher']"
231,"[5, 5, 1, 1, 5]",0,5,2,2,143.13148788927336,['InversePunisher']
232,"[4, 1, 5, 0, 1]",0,4,3,3,167.73553719008265,['InversePunisher']
233,"[5, 1, 4, 1, 2]",2,0,4,4,147.0532544378698,['InversePunisher']
234,"[0, 1, 1, 4, 1]",3,4,5,5,160.24489795918367,['InversePunisher']
235,"[3, 4, 5, 1, 0]",2,1,1,1,76.77514792899409,"['ContriteTitForTat', 'InversePunisher']"
236,"[3, 0, 4, 1, 5]",3,0,2,2,183.55029585798817,['FirstByDavis']
237,"[0, 5, 3, 5, 2]",3,2,3,3,162.48888888888888,['InversePunisher']
238,"[1, 2, 3, 5, 4]",3,5,4,4,159.51111111111112,['InversePunisher']
239,"[5, 0, 3, 2, 1]",3,1,5,5,174.2479338842975,['FirstByDavis']
240,"[5, 1, 3, 4, 3]",1,1,1,1,176.02734375,"['OnceBitten', 'InversePunisher']"
241,"[2, 5, 0, 0, 2]",1,5,2,2,98.51851851851852,['FirstByDavis']
242,"[0, 0, 5, 4, 0]",1,0,3,3,200.0,"['OnceBitten', 'InversePunisher']"
243,"[4, 5, 1, 5, 1]",4,1,4,4,189.12109375,['InversePunisher']
244,"[0, 5, 3, 3, 5]",2,0,5,5,174.46484375,['InversePunisher']
245,"[0, 5, 2, 0, 5]",1,5,1,1,68.36805555555556,['InversePunisher']
246,"[3, 3, 5, 4, 2]",2,5,2,2,136.6955017301038,['FirstByDavis']
247,"[0, 3, 2, 2, 5]",4,5,3,3,152.84722222222223,['InversePunisher']
248,"[4, 1, 5, 2, 0]",4,0,4,4,200.0,"['FirstByDavis', 'ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
249,"[3, 0, 1, 0, 4]",4,2,5,5,144.375,['FirstByDavis']
250,"[3, 5, 4, 3, 1]",2,4,1,1,113.109375,"['ContriteTitForTat', 'InversePunisher']"
251,"[0, 4, 1, 4, 5]",4,4,2,2,135.6122448979592,['InversePunisher']
252,"[5, 0, 4, 4, 1]",0,1,3,3,152.9591836734694,['InversePunisher']
253,"[3, 4, 5, 5, 2]",2,1,4,4,157.22991689750694,['InversePunisher']
254,"[4, 1, 2, 2, 1]",0,4,5,5,162.28,['InversePunisher']
255,"[0, 3, 5, 2, 5]",1,3,1,1,128.22666666666666,['InversePunisher']
256,"[5, 4, 2, 3, 4]",0,5,2,2,146.4506172839506,['InversePunisher']
257,"[0, 5, 4, 5, 4]",4,4,3,3,169.90123456790124,['InversePunisher']
258,"[1, 1, 0, 5, 0]",1,0,4,4,168.9795918367347,['InversePunisher']
259,"[3, 0, 1, 3, 2]",4,2,5,5,164.59259259259258,['FirstByDavis']
260,"[3, 3, 5, 2, 2]",3,2,1,1,150.62222222222223,"['ContriteTitForTat', 'OnceBitten', 'InversePunisher']"
261,"[1, 2, 4, 2, 5]",1,1,2,2,170.77551020408163,['FirstByDavis']
262,"[5, 2, 3, 0, 3]",1,2,3,3,172.07100591715977,"['FirstByDavis', 'InversePunisher']"
263,"[4, 0, 2, 3, 3]",4,2,4,4,159.41666666666666,['InversePunisher']
264,"[2, 3, 2, 1, 4]",4,3,5,5,168.19444444444446,['FirstByDavis']
265,"[3, 5, 5, 0, 2]",1,5,1,1,89.82222222222222,['InversePunisher']
266,"[2, 2, 1, 0, 0]",2,1,2,2,156.88,['FirstByDavis']
267,"[1, 2, 5, 3, 2]",2,5,3,3,137.8698224852071,['FirstByDavis']
268,"[0, 5, 3, 5, 0]",3,5,4,4,173.5207100591716,['ContriteTitForTat']
269,"[5, 3, 5, 0, 0]",2,5,5,5,153.0473372781065,['FirstByDavis']
270,"[5, 2, 4, 5, 2]",2,4,1,1,121.71604938271605,"['ContriteTitForTat', 'InversePunisher']"
271,"[5, 0, 5, 2, 4]",0,5,2,2,147.421875,['InversePunisher']
272,"[3, 0, 4, 5, 3]",3,3,3,3,153.06666666666666,['FirstByDavis']
273,"[2, 4, 5, 4, 5]",0,1,4,4,185.2,['InversePunisher']
274,"[3, 3, 0, 3, 2]",0,3,5,5,165.36363636363637,['InversePunisher']
275,"[2, 5, 5, 2, 4]",1,5,1,1,104.87654320987654,['InversePunisher']
276,"[2, 5, 3, 3, 1]",1,1,2,2,136.0204081632653,['FirstByDavis']
277,"[1, 4, 1, 5, 4]",3,5,3,3,151.55555555555554,['FirstByDavis']
278,"[4, 0, 3, 3, 4]",4,2,4,4,158.20408163265307,['InversePunisher']
279,"[0, 5, 2, 0, 3]",1,4,5,5,154.8,['InversePunisher']
280,"[4, 5, 4, 4, 0]",2,4,1,1,117.63321799307958,"['ContriteTitForTat', 'InversePunisher']"
281,"[5, 5, 5, 4, 3]",0,4,2,2,158.9979338842975,['InversePunisher']
282,"[0, 2, 3, 5, 0]",1,2,3,3,168.4,['InversePunisher']
283,"[3, 1, 5, 3, 0]",0,3,4,4,174.22916666666666,['InversePunisher']
284,"[4, 1, 3, 5, 5]",4,5,5,5,163.59567901234567,['FirstByDavis']
285,"[1, 5, 0, 3, 4]",1,3,1,1,76.24260355029585,['InversePunisher']
286,"[0, 4, 2, 2, 1]",2,2,2,2,154.5185185185185,['InversePunisher']
287,"[3, 3, 2, 5, 1]",3,5,3,3,152.14285714285714,['FirstByDavis']
288,"[5, 5, 2, 0, 3]",4,2,4,4,174.06666666666666,['FirstByDavis']
289,"[5, 1, 2, 2, 2]",2,2,5,5,170.26388888888889,['FirstByDavis']
290,"[0, 5, 4, 0, 1]",2,0,1,1,72.24,"['ContriteTitForTat', 'InversePunisher']"
291,"[1, 3, 1, 0, 2]",4,2,2,2,151.55102040816325,['FirstByDavis']
292,"[1, 3, 2, 2, 2]",3,1,3,3,171.68,['FirstByDavis']
293,"[5, 4, 0, 3, 1]",3,3,4,4,164.63905325443787,['InversePunisher']
294,"[0, 3, 4, 4, 5]",4,1,5,5,172.08984375,['InversePunisher']
295,"[5, 5, 0, 4, 1]",1,5,1,1,90.11111111111111,['InversePunisher']
296,"[5, 0, 3, 3, 1]",3,2,2,2,151.41666666666666,['FirstByDavis']
297,"[5, 4, 4, 5, 1]",3,5,3,3,163.26869806094183,['FirstByDavis']
298,"[4, 5, 2, 2, 2]",0,4,4,4,168.37333333333333,['InversePunisher']
299,"[4, 2, 5, 3, 3]",0,4,5,5,175.55709342560553,['InversePunisher']
